标题	标题链接	iteminfo__line2__jobdesc__salary	iteminfo__line2__jobdesc__demand	iteminfo__line2__jobdesc__demand1	iteminfo__line2__jobdesc__demand2	iteminfo__line1__compname__name	iteminfo__line2__compdesc	iteminfo__line2__compdesc1	详情标题	职位描述	工作地点
大数据分析工程师	http://jobs.zhaopin.com/CC000544460J40142876816.htm?srccode=401901&preactionid=33e5bfb5-b529-4bdb-b83e-f08796881eaa	1.1万-2.2万	西安-高新技术产业开发区	3-5年	本科	软通动力信息技术(集团)股份有限公司	民营	10000人以上	大数据分析工程师	职位描述Tableau大数据分析HadoopMySQLJava 主要做数据分析，荣耀产品的质量分析，产品分析和优化等 1、掌握Shell或者python，至少熟练一种RDBMS。 2、熟练掌握Hive SQL脚本开发。 3、熟悉Hadoop体系架构以及Hadoop的搭建和部署。 4、熟练掌握spark及spark streaming开发。 5、有前台数据研发相关工作经验优先，如：Hbase、ES、Redis等	环普科技产业园
大数据开发工程师	http://jobs.zhaopin.com/CCL1221285800J40018593905.htm?srccode=401901&preactionid=33e5bfb5-b529-4bdb-b83e-f08796881eaa	1万-1.5万	西安-雁塔区	1-3年	本科	北京博通睿创信息技术有限公司	民营	20-99人	大数据开发工程师	"职位描述数据仓库HadoopHive任职要求：
1) 本科及以上学历，计算机、通信、电子、航空航天等相关专业毕业
2) 熟练掌握Java、C++、python等主流开发语言的一种，熟练掌握常用的软件架构模式，并能熟练使用基本的编程编译工具；
3) 熟练使用Hadoop分布式平台，能使用Java、Scala或其他语言进行大数据处理；

4) 熟悉Hadoop或Spark分布式数据开发技术，熟练掌握数据库技术；
5) 熟悉数据分析平台进行设计、开发分布式计算业务以及海量数据系统开发；
6) 具备良好的沟通协调能力、团队合作精神以及高度的责任心和良好的工作态度；
7) 较强的学习能力以及适应力；
8) 性格开朗，吃苦耐劳，抗压能力强；
9) 根据项目情况会有一定的出差。"	绿地领海大厦B座
大数据开发工程师	http://jobs.zhaopin.com/CC630677820J40140403405.htm?srccode=401901&preactionid=33e5bfb5-b529-4bdb-b83e-f08796881eaa	1万-1.5万	西安	5-10年	本科	陕西云基华海信息技术有限公司	民营	20-99人	大数据开发工程师	职位描述HiveScalaLinuxHadoopETLMySQLOracle 岗位职责：  1.参与公司大数据项目的架构设计及研发工作； 2.参与公司大数据产品的架构设计、发展规划及研发工作； 3.负责大数据技术方向的前沿研究、关键技术难题攻关。 任职要求： 1.了解java、scala、python，至少精通其中一种，能熟练掌握常用数据结构和算法； 2.精通hadoop体系架构，包括HDFS、HBASE、HIVE、SPARK等； 3.具备ETL开发经验； 4.有Oracle/Mysql的使用经验，熟练使用SQL查询语言； 5.有创新意识，并具备良好的学习能力、团队合作精神、沟通能力和组织协调能力； 6.熟练掌握linux操作系统； 7.本科以上学历，5年及以上大数据相关研发工作经验； 8.有数仓、数据湖设计，AI数据数据挖掘经验优先考虑。	陕西省西安市雁塔区沣惠南路16号靠近中信银行(西安沣惠路支行)
大数据开发工程师（西安）	http://jobs.zhaopin.com/CC627705480J40136794009.htm?srccode=401901&preactionid=33e5bfb5-b529-4bdb-b83e-f08796881eaa	1.2万-1.5万	西安-雁塔区	3-5年	本科	成都三朵云科技有限公司	民营	20-99人	大数据开发工程师（西安）	职位描述大数据开发数据库开发HadoopStormMySQL岗位职责：1、负责基于Hadoop/Spark平台架构的开发、设计和布局；2、针对海量的数据进行统计、分析与挖掘，不断提高系统运行效率；3、负责大数据平台的性能监控和持续优化；针对需求提供大数据分析技术解决方案；4、大数据平台的运维工作，持续完善大数据平台，保证稳定性、安全性,熟练使用大数据ETL数据抽取工具。职位要求：1、本科或以上学历，3年以上的大数据开发经验，从事过大型系统的架构、研发工作；2、对大数据生态圈有深入的了解，具备Hadoop、Hive、Hbase、Pig、Storm、Spark、phoinex等项目的开发经验；3、熟悉关系型数据库（Oracle、MSSQL、MYSQL等）及一种NoSQL（mongodb、redis、hbase 等），需要有实际开发经验；4、精通JAVA/Scala编程语言，了解java GC机制，可以对hdfs、hbase、spark进行框架调优、了解传统关系数据库的原理；5、了解数据挖掘和机器学习算法，包括聚类、分类、回归等。有相关实际经验；6、有智慧环保和智慧水务工作经验优先。	长安南路123号
大数据开发工程师	http://jobs.zhaopin.com/CC267024480J40146175616.htm?srccode=401901&preactionid=33e5bfb5-b529-4bdb-b83e-f08796881eaa	"9千-1.2万
          · 13薪"	西安	1-3年	本科	西安远眺网络科技有限公司	民营	100-299人	大数据开发工程师	职位描述数据建模数据库数据处理分布式计算HadoopPython数据挖掘数据采集岗位职责：（1）负责数据建模以及数据采集、处理、整合；（2）负责数据分析、数据挖掘以及报表开发；（3）负责平台搭建，运维及数据开发；（4）负责数据仓储和多维数据构建。 任职要求：（1）本科及以上学历，计算机、数学和统计学相关专业，2~3年以上数据开发工作经验； （2）有工作责任心，思维清晰，具备良好的团队合作精神，有一定的承压能力；（3）熟悉统计学理论，会数据分析，数据建模；（4）熟悉分布式系统概念和架构；（5）熟悉Hadoop/Hive/HBase/Spark/Flink/Clickhouse/Kylin/Kafka/Flume等技术；（6）熟悉java/Python/scala语言开发。发展及福利待遇：（1） 提供发展机会：纯技术和管理层两个方向的晋升；（2）入职即为员工缴纳五险一金，话费、交通、误餐等补贴；（3）周末双休、法定节假日、带薪年假；（4）节日礼品及生日福利，年终奖金、项目奖金；（5）每年年度健康体检；（6）工作日免费提供早餐牛奶、午餐水果；（7）不定期的团建及旅游活动，日常提供丰富的娱乐设施。	西安市高新区科技三路汇豪树中心B座东户21层
大数据开发工程师	http://jobs.zhaopin.com/CC000544460J40138755716.htm?srccode=401901&preactionid=33e5bfb5-b529-4bdb-b83e-f08796881eaa	1.1万-2万	西安-长安区	1-3年	本科	软通动力信息技术(集团)股份有限公司	民营	10000人以上	大数据开发工程师	职位描述数据库开发大数据分析数据库PythonSpark大数据开发 职位关键词： 数据迁移，大数据开发，数据分析，Hadoop   大数据开发（5名）       （能者居上，技术要牛，经验丰富, 薪资open ） 华为、荣耀、阿里、汇丰、自研等（23-35岁）薪资open ，       *[切记：学历不可造假]          *【2轮电话面试，1轮机试。若技能ok,可直接安排面试，尽快入职】       岗位职责：       1、搭建和维护Hadoop集群，解决海量数据不断增长面临的挑战；            2、负责海量信息分析处理，系统设计；       3、负责根据业务场景，项目需求抽取、分析处理。       任职要求:       1、计算机或相关专业，本科及以上学历，一年以上大数据相关工作经验       2、熟悉Hadoop以及Hadoop生态圈上的各种应用的几种，如HBase、HDFS、ES、ZooKeeper、Yarn等，能解决Hadoop的复杂问题；       3、有部署大规模Hadoop集群的经验者优先；       4、熟悉面向对象设计思想和设计模式，可以编写代码编程使用Spark开发大数据处理系统；       5、熟悉软件开发流程和配置库的使用，拥有软件开发流程中的代码规范意识、配置管理规范意识、文档撰写规范意识和团队合作沟通交流意识。	沣东新城协同创新港
大数据开发工程师	http://jobs.zhaopin.com/CC504787680J40135053203.htm?srccode=401901&preactionid=33e5bfb5-b529-4bdb-b83e-f08796881eaa	1万-1.5万	西安-雁塔区	3-5年	本科	陕西明太实业发展有限公司	民营	20-99人	大数据开发工程师	职位描述数据挖掘数据处理数据建模机器学习数据清洗数据采集大数据开发大数据分析工作职责：1、负责数据的分析处理，根据业务需求，进行数据处理、分析、统计等；2、负责网络爬虫的设计与开发工作，数据仓库的研发、设计与维护工作；3、负责数据挖掘算法、机器学习算法的落地工作；任职要求：1、本科及以上学历，应用数学、计算机等相关专业；2、 扎实的数据挖掘理论和数据结构算法技术基础,对聚类、分类、协同过滤、预测、时间序列、图论、 神经网络等有一定的研究；3、熟练使用 java、c/c++、scala、python 中的最少一种语言；4、熟悉 Hadoop、SPARK、STORM、HBASE 等分布式数据分析框架；	锦业路东段32号锦业时代B3座8楼
大数据开发工程师	http://jobs.zhaopin.com/CC859289720J40140767809.htm?srccode=401901&preactionid=33e5bfb5-b529-4bdb-b83e-f08796881eaa	8千-1.5万	西安	1-3年	大专	陕西持信信息科技有限公司	民营	20-99人	大数据开发工程师	职位描述PythonC++HadoopSparkFlinkKafka 1)  负责数据项目的开发、推进和优化。 2) 协助项目其他人员共同完成项目计划中的相关开发任务。 3) 根据项目需求，设计实现方案并落地。 4）负责项目中数据准备、模型建立、模型跟踪、模型优化、模型维护、部署和评估等闭环流程，为产品优化及业务决策提供分析支撑及技术支持； 6) 能够适应项目驻场要求。 7) 协助参与项目相关文档的编写。 8) 服从上级主管的管理，按时汇报工作进展，积极主动配合公司的日常工作。 任职要求：   1、计算机相关专业专科及以上学历，1年以上大数据开发经验；    1、掌握Java/C++/Scala/Python开发语言；    2、熟悉Linux Shell等脚本语言；    3、熟悉Hadoop生态环境；    4、掌握包括ES、HBase、Hive、Spark、Flink等大数据平台组件。    5、熟练应用kafka，flink等大数据组件处理数据。了解常用通信协议。    6、具有良好的团队合作能力、沟通能力、计划和执行能力；    8、具有高度的责任感、能接受一定的工作压力。	西安市高新区丈八西路2号绿地蓝海大厦1805室
大数据开发工程师	http://jobs.zhaopin.com/CC429681030J40140728901.htm?srccode=401901&preactionid=33e5bfb5-b529-4bdb-b83e-f08796881eaa	7千-8千	西安-新城区	1-3年	本科	大连恒宏科技有限公司	其它	20-99人	大数据开发工程师	职位描述大数据开发数据清洗HadoopSparkSQL数据处理JavaKettle岗位要求1、本科及以上学历；计算机相关专业，具有1年以上相关大数据开发工作经验；2、熟悉Hadoop, spark ,flink中的一项；3、熟悉编程语言Java或Python，开发过API接口4、熟悉主流ETL开发工具(如：Kettle、Informatica、 Datastage) 至少掌握1种ETL工具的使用；5、至少熟悉Oracle，SqlServer, MYSQL等其一数据库，熟悉数据仓库，数据建模理论，熟练运用SQL；6、认真负责，沟通表达良好，积极主动，抗压能力强。 工作内容1、基于华为云平台整合的数据，进行数据清洗，接口开发2、对内数据报表展示开发	尚德路79号1
大数据开发工程师	http://jobs.zhaopin.com/CC000544460J40126300116.htm?srccode=401901&preactionid=33e5bfb5-b529-4bdb-b83e-f08796881eaa	9千-1.7万	西安-高新技术产业开发区	3-5年	本科	软通动力信息技术(集团)股份有限公司	民营	10000人以上	大数据开发工程师	职位描述HadoopSpark岗位职责：1、根据客户的Hadoop大数据平台架构设计，协助售前，输出基于华为云服务的大数据迁移方案，并落地、实施和交付工作；2、负责客户的Hadoop/Spark相关组件功能和性能优化设计和实施落地工作；与服务台、客户、华为SRE团队的沟通。 岗位要求：一、学历要求：全日制本科及以上学历，2年以上专业工作经验；二、专业要求： 电子信息工程 、通信工程、计算机科学与技术、网络工程、电气工程与自动化信息工程 、信息科学技术 、软件工程 、光电信息工程电气信息工程、计算机软件等相关专业等（这块放开）。：三、技能要求：1、熟悉Hadoop，熟悉大数据相关框架和组件，如Hadoop（HDFS、YARN）、Hive、Spark、Storm、Zookeeper、Kafka等原理，使用和应用场景，熟悉CDH或HDP框架；2、精通主流数据（如Oracle、MySQL、PostgreSQL或GP其中一种），熟悉NoSQL和NewSQL数据库。3、精通Java语言开发，熟悉Python、Scala或者Go语言之一,熟练掌握Linux操作系统；4、熟悉大数据应用开发，如编写MapReduce、Spark程序等，熟悉Java工程的相关流程和操作；5、具备较强的学习能力和自我管理能力，性格积极乐观，能够在压力环境下工作。	天谷八路211号西安环普科技产业园e1座E座E座
大数据分析员/双休	http://jobs.zhaopin.com/CCL1211487760J40062056115.htm?srccode=401901&preactionid=33e5bfb5-b529-4bdb-b83e-f08796881eaa	5千-8千	西安-雁塔区	不限	大专	深圳市一苣技术有限公司西安分公司	合资	20-99人	大数据分析员/双休	职位描述普通话1、负责公司产品及业务数据统计及分析工作；2 、业务部门所需数据的收集整理分析并反馈；4、按要求对内部数据收集整理；4、数据相关的其他工作。    5，全日制大专以上学历，专业不限：薪资福利：1、五天7.5小时，五险一金，优于同行薪资待遇，提供住宿。2、公司提供管理培训，技能培训等完备的培训体系，帮助快速成长；3、晋升空间大，晋升渠道初级统计-数据分析主管-经理-总监；4、工作时间朝九晚六，周末双休；	西安
大数据开发工程师	http://jobs.zhaopin.com/CC429681030J40130359501.htm?srccode=401901&preactionid=33e5bfb5-b529-4bdb-b83e-f08796881eaa	"8千-9千
          · 13薪"	西安-新城区	1-3年	本科	大连恒宏科技有限公司	其它	20-99人	大数据开发工程师	职位描述大数据开发数据清洗HadoopSpark岗位要求1、本科及以上学历；计算机相关专业，具有1年以上相关大数据开发工作经验；2、熟悉Hadoop, spark ,flink中的一项；3、熟悉编程语言Java或Python，开发过API接口4、熟悉主流ETL开发工具(如：Kettle、Informatica、 Datastage) 至少掌握1种ETL工具的使用；5、至少熟悉Oracle，SqlServer, MYSQL等其一数据库，熟悉数据仓库，数据建模理论，熟练运用SQL；6、认真负责，沟通表达良好，积极主动，抗压能力强。 工作内容1、基于华为云平台整合的数据，进行数据清洗，接口开发2、对内数据报表展示开发	尚德路79号
大数据开发工程师	http://jobs.zhaopin.com/CC000544460J40144811116.htm?srccode=401901&preactionid=33e5bfb5-b529-4bdb-b83e-f08796881eaa	9千-1.8万	西安-雁塔区	3-5年	大专	软通动力信息技术(集团)股份有限公司	民营	10000人以上	大数据开发工程师	职位描述大数据开发LinuxJavaHadoop 岗位职责： 1.负责对安全设备、网络设备、业务组件/系统产生的日志进行分析、处理、存储； 2.熟练 Java 和 Scala 编程，了解 JVM 原理，负责对数据ETL过程中出现的故障进行排查解决； 3.熟练操作 MySQL、Redis、HBase 数据库的使用； 4.负责协同建模工程师，对日志进行预处理；  岗位要求： 1.有1年以上Java开发经验； 2.能熟练使用正则表达式； 3.对数据敏感、做事严谨细致； 4.了解日志范式化（ETL）的基本流程、工具、方法； 5.了解基本的计算机、网络协议（TCP、DNS、HTTP等）知识； 6.了解网络设备、安全设备的安全能力。	锦业路与丈八一路交汇处西南角11层
（西安）研发工程师（大数据、物联网、人工智能、分布式计算）	http://jobs.zhaopin.com/CC856182520J40100034006.htm?srccode=401901&preactionid=33e5bfb5-b529-4bdb-b83e-f08796881eaa	1万-2万	西安-高新技术产业开发区	1-3年	本科	中电太极	国企	1000-9999人	（西安）研发工程师（大数据、物联网、人工智能、分布式计算）	职位描述JavaPythonoracle数据库 岗位职责: 1、深入理解业务需求，完成相关技术设计、编码、文档和单元测试工作； 2、按时、独立、高质量的完成工作，确保相关代码逻辑的健壮性与正确性； 3、参与方案的讨论、技术研究及技术难题的攻坚； 4、完成项目经理安排的其他任务。 任职要求: 1、统招本科及以上学历，计算机相关专业，2年以上工作经验； 2、熟悉Java/Python/Go中至少一种； 3、基础扎实，熟练掌握主流Web框架； 4、具有微服务相关开发经验者优先； 5、熟悉MySql、Oracle、PG等一种或几种关系型数据库，熟悉MySQL的使用和优化； 6、拥有redis、elasticsearch、消息队列等中间件的使用者优先； 7、熟悉Linux系统及常用指令； 8、具备良好的沟通能力和团队合作能力。	软件新城二期A12
大数据工程师	http://jobs.zhaopin.com/CC000421286J00610260801.htm?srccode=401901&preactionid=33e5bfb5-b529-4bdb-b83e-f08796881eaa	"1.2万-2.4万
          · 15薪"	西安-高新技术产业开发区	不限	大专	上扬软件（上海）有限公司	外商独资	100-299人	大数据工程师	职位描述JavaPython工作职责： 1、负责大数据业务的设计和具体开发工作； 2、负责大数据模块详细设计、大数据平台优化； 3、负责公司大数据平台架构设计； 4、负责大数据能力开放平台开发工作； 岗位要求： 1.精通Java/Scala/Python/Shell/R中的至少两种开发语言； 2.熟练掌握Hadoop、Hive、Hbase、Spark、Storm等分布式框架原理，有相关的调优、运维、开发经验； 3.熟悉至少一种常用数据库语言(Oracle/MySQL/PG等)； 4.有实际的数据仓库开发和数据建模经验，有熟悉Tableau/Cognos等BI工具软件优先；具有解决大数据量的技术手段； 5.对数据敏感，有数据分析、数据挖掘经验者优先； 6.优招条件：有半导体领域MES/CIM或其它业务领域的大数据AI应用的研究和开发的成功项目经验。	丈八四路神州数码科技园5号楼5楼
（某国内互联网公司）大数据运维工程师	http://jobs.zhaopin.com/CC476574525J00085852605.htm?srccode=401901&preactionid=33e5bfb5-b529-4bdb-b83e-f08796881eaa	1.5万-2万	西安	5-10年	本科	西安黄邺通信技术有限公司	其它	20人以下	（某国内互联网公司）大数据运维工程师	职位描述工作职责：1、负载公司Hadoop集群规划、管理工作并保证集群的高可靠；2、深度优化HADOOP平台MR作业/计算框架/存储技术，提升集群吞吐并降低成本3、hadoop和其他各业务线系统的日常监控、数据备份、数据监控、报警、故障处理；4、研究运维相关技术，根据系统需求制定运维技术方案，开发自动化运维工具和运维辅助系统；5、深入研究大数据业务相关技术，持续优化集群服务架构，探索新的大数据运维技及发展方向。 岗位要求：1.五年以上运维或开发工作经验，其中三年大数据或数据仓库经验；2.熟悉Hadoop/Hbase/Hive/Impala/Flume/Zookeeper/Spark/ELK等开源项目，有patch源代码经验者尤佳；3.有AWS或其他云平台使用和管理相关的经验4.精通Linux操作系统的配置、管理及优化，能够独立排查及解决操作系统层面的问题；5.至少精通 Perl/Python/Shell脚本语言中的一种；6.有大型互联网公司HADOOP开发、测试、运维、应用工作经验者，熟悉源码尤佳。	高新区
大数据交付SA	http://jobs.zhaopin.com/CC132230560J40079616706.htm?srccode=401901&preactionid=33e5bfb5-b529-4bdb-b83e-f08796881eaa	1.2万-2.4万	西安	1-3年	大专	深圳市讯方技术股份有限公司	股份制企业	1000-9999人	大数据交付SA	职位描述技术方案设计计费、CRM无线、网管 1、熟悉运营商业务，如计费、CRM、无线、网管等相关领域； 2、具备需求理解、标准理解能力，并能够顺畅的与客户进行沟通交流及引导，具备一定需求分析及管理能力； 3、有技术方案设计，并具备实际落地相关经验，具有一定的行业洞察和业务创新能力； 4、3年及以上电信行业从业经验，负责过特定模块交付工作，具备独立解决技术问题或风险管理能力； 5、熟练掌握SQL开发；熟悉python、perl等编程人员优先。 岗位职责： 1、负责大数据服务解决方案的规划、设计，以及相关解决方案资料的输出； 2、负责大数据特定领域需求及问题分析管理工作； 3、负责大数据服务解决方案特性的落地实现，包括需求分解及跟踪、方案验证等； 4、承担国内大数据项目支持工作，包括客户交流，需求调研及分析，项目策略及方案制定，交付支撑等；	西安华为 研究所
大数据软件设计师	http://jobs.zhaopin.com/CC120501588J00259183210.htm?srccode=401901&preactionid=33e5bfb5-b529-4bdb-b83e-f08796881eaa	1万-1.5万	西安-长安区	5-10年	本科	航天恒星	国企	1000-9999人	大数据软件设计师	职位描述数据处理 岗位职责： 1、负责海量文本、图像、数据库等基础数据治理； 2、负责基于ELT等技术将多源数据进行数据融合，并实现数据挖掘分析； 3、负责基于BI数据可视化的，门户系统或大屏系统研制。 4、负责基于大数据技术框架下的相关技术产品的设计、开发、实施、优化等工作； 5、负责分析数据采集、接入、清洗、处理、融合分析等需求，全局设计数据处理技术流程和规范； 6、深入理解业务，从数据视角洞察应用，熟悉统计、优化、机器学习、深度学习等分析技能. 任职要求： 1、有HADOOP、HIVE、HBASE等大数据平台开发经验； 2、熟悉数据仓库理论，具备有一定的ETL开发工作经验； 3、具备BI数据可视化平台研制基础； 4、熟悉SQL和NoSQL数据库的设计和开发，如Oracle/Mysql/Hbase/Mongodb/Redis等； 5、熟悉大数据相关组件搭建、应用、优化； 6、具备中级技术职称评定资格。	航天基地北航科技园
大数据应用C++开发工程师	http://jobs.zhaopin.com/CC491912130J40029864708.htm?srccode=401901&preactionid=33e5bfb5-b529-4bdb-b83e-f08796881eaa	1万-2万	西安	3-5年	本科	西安大衡天成信息科技有限公司	民营	20-99人	大数据应用C++开发工程师	职位描述C++QTGIS 一、岗位职责： 针对电磁数据领域大数据产品应用的架构设计、Docker微服务、应用功能设计开发。 二、任职要求： 1、一类大学的计算机相关专业本科毕业； 2、具有三年以上程序开发经历，能够独立完成软件功能模块的设计，开发和测试； 3、熟悉大数据平台和Docker微服务相关技术；熟悉Web服务开发技术； 4、精通QT或VS下C++语言的应用功能开发； 5、熟悉常用程序设计模式，具有良好的编程规范；具有良好的设计文档编写能力； 6、具有正规软件企业从业经历，具备良好的软件设计开发经验基础； 7、具有GIS应用开发经验者优先。 8、具有良好的团队合作精神，能够带领团队完成任务，具有良好设计沟通能力； 9、公司现正处于高速发展及业务扩大期，求职者需要承担工作压力和多种工作角色。	西安市灞桥区国际港务区港务大道7号物联网应用产业园208
大数据产品经理	http://jobs.zhaopin.com/CC139131340J40027368311.htm?srccode=401901&preactionid=33e5bfb5-b529-4bdb-b83e-f08796881eaa	2.5千-2.8千	西安-雁塔区	无经验	本科	亚信科技(中国)有限公司	民营	10000人以上	大数据产品经理	职位描述大数据产品岗位职责：1、负责政务、金融行业大数据平台的运营；2、收集产品市场信息，完成行业分析及商机趋势分析；3、完成基础数据搜集、梳理、分析工作；4、配合商务负责人外出进行商务谈判，挖掘客户需求，为客户提供解决方案；5、掌握大数据平台功能，协助商务负责人对客户进行需求引导和平台方案讲解；6、完成组内沟通、会议纪要、文档撰写等其他日常工作。  任职要求: 1、专业不限，要求本科及以上学历，大学实践经历丰富者优先；2、熟悉使用office等办公软件； 3、良好的沟通能力和表达能力； 4、良好的数据分析能力；5、学习能力强者优先考虑。 综合素质: 1、 具备良好的客户需求理解能力、良好的沟通和表达能力；2、 工作态度积极主动，具备一定的抗压能力；3、 具有良好的团队合作意识、团队协作能力。  由于此职位为转正岗位，因此会对实习生制定一对一的培养计划，且部门转正岗级配置较高，转正后薪资待遇也具备足够吸引力！所以要求少实习6个月以上，本职位优先录用2021年毕业本科生、研究生开放。本职位实习目的为正式员工培养，欢迎期待转正同学加入，谢绝阶段性实习意向。	锦业一路中国移动
大数据开发工程师	http://jobs.zhaopin.com/CC374906112J00287733104.htm?srccode=401901&preactionid=33e5bfb5-b529-4bdb-b83e-f08796881eaa	8千-1.6万	西安-雁塔区	1-3年	本科	西安银信博锐信息科技有限公司	民营	300-499人	大数据开发工程师	职位描述HadoopHiveSparkLinux岗位职责： 1.打造稳定可靠的平台化、可视化、自动化的互交式大数据平台； 2.能够搭建和部署hadoop集群； 3.负责基于大数据平台的应用设计、开发和维护及性能提升； 4.能利用大数据平台实现对数据的分析和处理； 5.负责大数据平台的性能参数调整和优化； 6.负责相关项目的基数支持和服务。 岗位要求： 1.对服务器集群有较深的认识。并有较为丰富的集群开发经验； 2.精通hadoop各个模块的功能，对hive、hbase、map/reduce有深入了解； 3.熟悉hive数据仓库架构，熟悉hql常用开发命令，熟悉Hive数据仓库，能够总体把握hive在各个层数据仓库之间的流转； 4.熟练使用sqoop工具，能够独立完成mysql到HDFS或Hive的导入导出工作，能够封装sqoop命令，用已完成定时任务的调用。 5.熟悉分布式系统原理，熟悉Hadoop、Spark、Impala、Hive等大数据平台资源软件开发这优先； 6.熟悉Linux环境和命令，能够编写简单的shell脚本； 7.会MySQL，oracle者优先，有集群数据库的开发使用经验者优先； 8.政府项目相关经验者优先。	西安市高新区科技五路20号B座6-7F
大数据工程师	http://jobs.zhaopin.com/CC468997420J40081215405.htm?srccode=401901&preactionid=33e5bfb5-b529-4bdb-b83e-f08796881eaa	1万-1.2万	西安	1-3年	本科	内蒙古蒙草生态环境（集团）股份有限公司	股份制企业	500-999人	大数据工程师	职位描述HadoopHiveHbase岗位职责： 1、负责离线数仓、实时数仓建设和数据集成，实现高质量数据的互通与共享；   2、负责设计数仓各个主题域模型并持续优化，负责日常的ETL开发，在保证质量的前提下高效完成开发任务；   3、根据业务数据特征，通过实施数据标准定义、数据质量、数据模型管理等数据治理流程，提升数据合法性、合规性；  4、根据业务部门需求，开发数据接口，共享数据服务，迭代数据产品；   5、参与数据应用项目，结合产品应用挖掘数据价值，并驱动公司业务： 职位要求： 1、本科及以上学历，软件开发、计算机应用等相关专业毕业； 2、具有数仓建模经验，熟悉各类建模方法，并有实践运用经验；  3、有大型数据仓库项目实施经验，精通SQL及SQL优化，熟悉数据开发流程，完成从业务到数据模型的设计及开发协作；   4、了解大数据生态，及常用组件和相关架构，熟悉所使用工具及平台的技术原理和主要特点，包含且不限于Hadoop、hive、hbase、Spark、Elasticsearch等；   5、熟悉java或python、scala等至少1种主流开发语言或脚本语言，有主流大数据平台及数据抽取工具使用经验；  6、有生态、环保、林草等相关行业经验优先考虑。	灞桥
Java开发工程师（大数据研发中心）	http://jobs.zhaopin.com/CC200911980J40106995215.htm?srccode=401901&preactionid=33e5bfb5-b529-4bdb-b83e-f08796881eaa	1万-1.6万	西安-雁塔区	3-5年	本科	美林数据技术股份有限公司	股份制企业	500-999人	Java开发工程师（大数据研发中心）	职位描述Java岗位要求：1. 负责设计与实现平台与大数据组件的融合和对接框架；2. 负责flink DataStream api开发，实时，离线数据处理；3. 负责解决平台在实际使用中出现的问题，配合项目现场分析解决；4. 负责平台新功能规划的技术预研和方案制定； 技术要求： 1.熟悉常用的前端技术框架和相关组件(vue/nodejs/jquery/elementUI/ivewUI/webpack等)； 2.能够熟练使用VUE技术栈进行前端页面开发； 3.熟练掌握Java语言、mysql数据库 4.熟悉spring、springmvc、springboot、springcloud、mybatis/hibernate/JPA框架 5.熟悉jquery、freemarker框架 6.熟悉eclipse/IDEA、Maven、svn工具 7.熟悉kubenetes、docker、camunda、spark相关组件者优先 8.3年以上工作经验，本科及以上学历 9.有微服务相关产品的开发经验者优先	天谷八路北50米西安软件新城国家电子商务示范基地附近
大数据开发工程师	http://jobs.zhaopin.com/CC131214289J90251554000.htm?srccode=401901&preactionid=33e5bfb5-b529-4bdb-b83e-f08796881eaa	1万-1.5万	西安-高新技术产业开发区	1-3年	本科	汇纳科技	上市公司	500-999人	大数据开发工程师	职位描述HadoopSpark岗位职责：1、基于Hadoop的数据加工、分析处理和数据统计系统的研发；2.根据相关业务需求，进行数据处理、分析及统计；3.hadoop平台深入研究与优化，提升数据产品的质量和响应速度；4、开发各种Hadoop大数据自动化运维与监控工具岗位要求：1、2年以上Hadoop开发经验2.具有数据分析、数据挖掘相关经验者优先3.有R、Python、机器学习等研究经历或工作经历优先4.精通Java开发，对面向对象、设计模式深刻理解；5.熟悉Hadoop架构（Hadoop、Hbase、Hive、Spark、Impala），MySQL, NoSQL等技术6.对分布式开源项目（Spark、Zookeeper、Hive、Hbase、Impala等）有技术兴趣，能跟踪hadoop 社区发展方向;7、诚实守信，有担当，有强烈的责任心和团队合作精神；8、思维活跃，敢于突破和创新，善于学习，乐于分享；9、良好的逻辑思维能力，具有很强的数据敏感性。	沣惠南路34号摩尔中心C幢19层
大数据实施工程师	http://jobs.zhaopin.com/CC488110120J40097702314.htm?srccode=401901&preactionid=33e5bfb5-b529-4bdb-b83e-f08796881eaa	1万-1.5万	西安-高新技术产业开发区	3-5年	本科	深圳宏崎达技术有限公司	民营	20-99人	大数据实施工程师	职位描述HadoopHive大数据平台Spark大数据架构数据治理数据分析  岗位职责：1、负责大数据项目的实施，推动数据汇聚、数据质量、数据仓库、数据模型、数据安全及相关标准规范的建设和实现；2、负责与业务团队协同规划大数据平台能力开放，为业务平台提供数据交换，数据服务，数据开发等能力；3、负责数据分析平台规划，推动数据分析、数据挖掘、数据可视化在大数据应用项目中的落地；4、负责大数据平台架构的持续的创新和优化，研究跟进大数据领域新技术.    任职要求：  1、全日制本科及以上学历，计算机、软件工程、统计学、数据挖掘等相关专业，熟悉互联网数据仓库或数据平台建设，3年以上数据实施相关经验；  2、熟悉业界主流大数据处理技术，有丰富的分布式计算平台模型架构（Hadoop, Hive, HBase, ZooKeeper, Spark, Cassandra, MapReduce, MPP等）经验；  3、精通数据仓库各类建模理论，以及数据仓库数据层级关系，有成功有效的企业数据仓库实施经验；  4、具有数据分析、数据建模、数据挖掘、算法等相关工作经验；  5、具备良好的数据标准(指标管理、模型管理、质量管理)管理与推广经验；  6、具备较强的沟通能力，积极乐观、诚信、有责任心，具备强烈的进取心、求知欲及团队合作精神；  7、有数据中台项目交付经验的优先。	锦业路绿地领海大厦B座2107室
